신규분류요약,판매,판매명,생산,생산명,분리,분리명,사출,사출명
FRP_Color_Sph,T9939,Iris M J3306 Lily Blue (2개입),P4565,Lily Blue_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S401,Iris M J3308 Lily Brown (2개입),P4566,Lily Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S411,Iris M J3308 Lily Brown_낱개,P4566,Lily Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4566,CLC_40_3308_Lily Brown_원형,P4566,Lily Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9937,Iris M J3308 Lily Brown (2개입),P4566,Lily Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S402,Iris M J3307 Lily Green (2개입),P4567,Lily Green_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S412,Iris M J3307 Lily Green_낱개,P4567,Lily Green_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4567,CLC_40_3307_Lily Green_원형,P4567,Lily Green_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9938,Iris M J3307 Lily Green (2개입),P4567,Lily Green_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S404,Iris M J3309 Sunflower Brown (2개입),P4575,Sunflower Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S414,Iris M J3309 Sunflower Brown_낱개,P4575,Sunflower Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4575,CLC_40_3309_Sunflower Brown_원형,P4575,Sunflower Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9935,Iris M J3309 Sunflower Brown (2개입),P4575,Sunflower Brown_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S405,Iris M J3310 Sunflower Gray (2개입),P4576,Sunflower Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S415,Iris M J3310 Sunflower Gray_낱개,P4576,Sunflower Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4576,CLC_40_3310_Sunflower Gray_원형,P4576,Sunflower Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9936,Iris M J3310 Sunflower Gray (2개입),P4576,Sunflower Gray_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S304,Iris M 3201 Rachel Gray (2개입),P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S314,Iris M 3201 Rachel Gray_낱개,P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S323,Iris M 3201 Rachel Gray (TMG_2개입),P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4580,CLC_40_3202_Rachel Gray_원형,P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9914,Iris M 3201 Rachel Gray (2개입),P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T9918,Iris M 3201 Rachel Gray (TMG_2개입),P4580,Iris M Rachel Gray,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S305,Iris M 3202 Rachel Brown (2개입),P4581,Iris M Rachel Brown,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,S315,Iris M 3202 Rachel Brown_낱개,P4581,Iris M Rachel Brown,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4581,CLC_40_3201_Rachel Brown_원형,P4581,Iris M Rachel Brown,Q1002,S43-Dry,R1002,S43-Dry
