생산일자,판매코드,판매명,품목코드,제품명,실적수량,수주번호,이니셜,구분
2026-01-23,S615-01.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-01.75SPC,O2O2 D_Sepia Choco EX,"1,020",202601050001.0,,국내
2026-01-23,S615-01.75,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-01.75SPC,O2O2 D_Sepia Choco EX,"1,710",202601050001.0,,국내
2026-01-23,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,170",202601050001.0,,국내
2026-01-23,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,260",202601050001.0,,국내
2026-01-23,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,530",202601050001.0,,국내
2026-01-23,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,770",202601050001.0,,국내
2026-01-23,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,530",202601050001.0,,국내
2026-01-23,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,810,202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,90,202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,"1,020",202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,510,202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,"1,500",202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,510,202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,"1,020",202601050001.0,,국내
2026-01-23,S617-00.00,Clalen O2O2 D_Ash Brown EX_30P,P3406A-00.00ASB,O2O2 D_Ash Brown EX,240,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,420,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,"1,590",202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,"1,350",202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,"1,290",202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,960,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,870,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,840,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,720,202601050001.0,,국내
2026-01-23,S617-01.25,Clalen O2O2 D_Ash Brown EX_30P,P3406A-01.25ASB,O2O2 D_Ash Brown EX,"1,380",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,380",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,530",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,440",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,290",202601050001.0,,국내
2026-01-23,S617-02.75,Clalen O2O2 D_Ash Brown EX_30P,P3406A-02.75ASB,O2O2 D_Ash Brown EX,"1,080",202601050001.0,,국내
