일자,연,월,공정코드,실적_양품,실적_샘플제외,생산수량,불량수량,샘플수량,실제근무,실적
2025-01-20,2025,1,[45],5065.0,5065.0,1105.0,5978.0,0.0,True,5065.0
2025-01-20,2025,1,[55],2545.0,2545.0,2107.0,5402.0,360.0,True,2545.0
2025-01-20,2025,1,[80],2430.0,2430.0,2545.0,170.0,260.0,True,2430.0
2025-01-21,2025,1,[10],569.0,569.0,569.0,0.0,0.0,True,569.0
2025-01-21,2025,1,[20],20592.0,20592.0,14546.0,26207.0,0.0,True,20592.0
2025-01-21,2025,1,[45],12130.0,12130.0,5470.0,5109.0,0.0,True,12130.0
2025-01-21,2025,1,[55],5150.0,5150.0,6580.0,5910.0,510.0,True,5150.0
2025-01-21,2025,1,[80],1020.0,1020.0,1095.0,240.0,165.0,True,1020.0
2025-01-22,2025,1,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-01-22,2025,1,[20],11169.0,11169.0,14075.0,22373.0,0.0,True,11169.0
2025-01-22,2025,1,[45],7685.0,7685.0,7171.0,4903.0,0.0,True,7685.0
2025-01-22,2025,1,[55],16375.0,16375.0,15345.0,6475.0,675.0,True,16375.0
2025-01-22,2025,1,[80],16190.0,16190.0,14005.0,2015.0,810.0,True,16190.0
2025-01-23,2025,1,[10],14056.0,14056.0,14056.0,0.0,0.0,True,14056.0
2025-01-23,2025,1,[20],49759.0,49759.0,39498.0,32368.0,0.0,True,49759.0
2025-01-23,2025,1,[45],5110.0,5110.0,2888.0,4517.0,0.0,True,5110.0
2025-01-23,2025,1,[55],8570.0,8570.0,5105.0,5530.0,675.0,True,8570.0
2025-01-23,2025,1,[80],8780.0,8780.0,9055.0,640.0,585.0,True,8780.0
2025-01-24,2025,1,[10],25948.0,25948.0,35792.0,9844.0,0.0,True,25948.0
2025-01-24,2025,1,[20],54815.0,54815.0,46768.0,37186.0,0.0,True,54815.0
2025-01-24,2025,1,[45],19885.0,19885.0,15579.0,7363.0,0.0,True,19885.0
2025-01-24,2025,1,[55],13410.0,13410.0,14080.0,9645.0,1675.0,True,13410.0
2025-01-24,2025,1,[80],8345.0,8345.0,9570.0,1075.0,825.0,True,8345.0
2025-01-25,2025,1,[10],19646.0,19646.0,29696.0,10050.0,0.0,True,19646.0
2025-01-25,2025,1,[20],58984.0,58984.0,56890.0,39250.0,0.0,True,58984.0
2025-01-25,2025,1,[45],33430.0,33430.0,31402.0,3837.0,0.0,True,33430.0
2025-01-25,2025,1,[55],15235.0,15235.0,16130.0,5375.0,555.0,True,15235.0
2025-01-25,2025,1,[80],12490.0,12490.0,13030.0,300.0,455.0,True,12490.0
2025-01-26,2025,1,[10],11810.0,11810.0,27200.0,15390.0,0.0,True,11810.0
2025-01-26,2025,1,[20],38196.0,38196.0,35047.0,26897.0,0.0,True,38196.0
2025-01-26,2025,1,[45],21030.0,21030.0,19701.0,3150.0,0.0,True,21030.0
2025-01-26,2025,1,[55],18315.0,18315.0,21775.0,4695.0,410.0,True,18315.0
2025-01-26,2025,1,[80],17925.0,17925.0,18980.0,630.0,700.0,True,17925.0
2025-01-27,2025,1,[10],3804.0,3804.0,7608.0,3804.0,0.0,True,3804.0
2025-01-27,2025,1,[20],7724.0,7724.0,2820.0,6661.0,0.0,True,7724.0
2025-01-27,2025,1,[45],3510.0,3510.0,3144.0,1092.0,0.0,True,3510.0
2025-01-27,2025,1,[55],18400.0,18400.0,18360.0,8290.0,440.0,True,18400.0
2025-01-28,2025,1,[10],10032.0,10032.0,17327.0,7295.0,0.0,True,10032.0
2025-01-28,2025,1,[20],16856.0,16856.0,5369.0,12195.0,0.0,True,16856.0
2025-01-28,2025,1,[45],6625.0,6625.0,5861.0,81.0,0.0,True,6625.0
2025-01-28,2025,1,[55],4830.0,4830.0,4605.0,1060.0,295.0,True,4830.0
2025-01-28,2025,1,[80],3730.0,3730.0,4665.0,835.0,180.0,True,3730.0
2025-02-01,2025,2,[10],19986.0,19986.0,24158.0,4172.0,0.0,True,19986.0
2025-02-01,2025,2,[20],42267.0,42267.0,49923.0,35352.0,0.0,True,42267.0
2025-02-01,2025,2,[45],38019.0,38019.0,37598.0,1727.0,0.0,True,38019.0
2025-02-01,2025,2,[55],33150.0,33150.0,36990.0,16560.0,1335.0,True,33150.0
2025-02-01,2025,2,[80],21890.0,21890.0,23190.0,1370.0,1100.0,True,21890.0
2025-02-02,2025,2,[10],6852.0,6852.0,8776.0,1924.0,0.0,True,6852.0
2025-02-02,2025,2,[20],28511.0,28511.0,33644.0,22531.0,0.0,True,28511.0
2025-02-02,2025,2,[45],18425.0,18425.0,20007.0,1698.0,0.0,True,18425.0
2025-02-02,2025,2,[55],36975.0,36975.0,38874.0,18284.0,1195.0,True,36975.0
2025-02-02,2025,2,[80],24730.0,24730.0,24740.0,1100.0,960.0,True,24730.0
2025-02-03,2025,2,[10],17317.0,17317.0,23680.0,6363.0,0.0,True,17317.0
2025-02-03,2025,2,[20],52979.0,52979.0,50882.0,29299.0,0.0,True,52979.0
2025-02-03,2025,2,[45],25530.0,25530.0,25919.0,527.0,0.0,True,25530.0
2025-02-03,2025,2,[55],11495.0,11495.0,15040.0,4960.0,805.0,True,11495.0
2025-02-03,2025,2,[80],31915.0,31915.0,31480.0,725.0,1210.0,True,31915.0
2025-02-04,2025,2,[10],18956.0,18956.0,21852.0,2896.0,0.0,True,18956.0
2025-02-04,2025,2,[20],62280.0,62280.0,52115.0,32118.0,0.0,True,62280.0
2025-02-04,2025,2,[45],25730.0,25730.0,27023.0,1495.0,0.0,True,25730.0
2025-02-04,2025,2,[55],38565.0,38565.0,38985.0,17595.0,1675.0,True,38565.0
2025-02-04,2025,2,[80],19245.0,19245.0,20180.0,1000.0,980.0,True,19245.0
2025-02-05,2025,2,[10],8884.0,8884.0,13784.0,4900.0,0.0,True,8884.0
2025-02-05,2025,2,[20],62741.0,62741.0,51324.0,53500.0,0.0,True,62741.0
2025-02-05,2025,2,[45],47850.0,47850.0,48492.0,1016.0,0.0,True,47850.0
2025-02-05,2025,2,[55],38065.0,38065.0,38955.0,16305.0,1435.0,True,38065.0
2025-02-05,2025,2,[80],47090.0,47090.0,48885.0,370.0,1655.0,True,47090.0
2025-02-06,2025,2,[10],2274.0,2274.0,6142.0,3868.0,0.0,True,2274.0
2025-02-06,2025,2,[20],62438.0,62438.0,35272.0,43698.0,0.0,True,62438.0
2025-02-06,2025,2,[45],31150.0,31150.0,31045.0,1137.0,0.0,True,31150.0
2025-02-06,2025,2,[55],22625.0,22625.0,19845.0,9330.0,925.0,True,22625.0
2025-02-06,2025,2,[80],24280.0,24280.0,24400.0,660.0,1190.0,True,24280.0
2025-02-07,2025,2,[10],7834.0,7834.0,11272.0,3438.0,0.0,True,7834.0
2025-02-07,2025,2,[20],45493.0,45493.0,21519.0,45915.0,0.0,True,45493.0
2025-02-07,2025,2,[45],42330.0,42330.0,42781.0,610.0,0.0,True,42330.0
2025-02-07,2025,2,[55],32020.0,32020.0,43455.0,15550.0,780.0,True,32020.0
2025-02-07,2025,2,[80],22765.0,22765.0,22675.0,110.0,945.0,True,22765.0
2025-02-08,2025,2,[10],8126.0,8126.0,11252.0,3126.0,0.0,True,8126.0
2025-02-08,2025,2,[20],53782.0,53782.0,45453.0,37292.0,0.0,True,53782.0
2025-02-08,2025,2,[45],35740.0,35740.0,35574.0,1131.0,0.0,True,35740.0
2025-02-08,2025,2,[55],25355.0,25355.0,33680.0,13140.0,685.0,True,25355.0
2025-02-08,2025,2,[80],29825.0,29825.0,30900.0,60.0,1105.0,True,29825.0
2025-02-09,2025,2,[10],14149.0,14149.0,21458.0,7309.0,0.0,True,14149.0
2025-02-09,2025,2,[20],22208.0,22208.0,16584.0,24264.0,0.0,True,22208.0
2025-02-09,2025,2,[45],25100.0,25100.0,25482.0,537.0,0.0,True,25100.0
2025-02-09,2025,2,[55],29360.0,29360.0,30450.0,17540.0,1275.0,True,29360.0
2025-02-09,2025,2,[80],35795.0,35795.0,36330.0,475.0,1720.0,True,35795.0
2025-02-10,2025,2,[10],6757.0,6757.0,8232.0,1475.0,0.0,True,6757.0
2025-02-10,2025,2,[20],35621.0,35621.0,20505.0,35665.0,0.0,True,35621.0
2025-02-10,2025,2,[45],15690.0,15690.0,16259.0,401.0,300.0,True,15690.0
2025-02-10,2025,2,[55],31375.0,31375.0,37755.0,25215.0,1175.0,True,31375.0
2025-02-10,2025,2,[80],24665.0,24665.0,25540.0,40.0,1065.0,True,24665.0
2025-02-11,2025,2,[10],19057.0,19057.0,24692.0,5635.0,0.0,True,19057.0
2025-02-11,2025,2,[20],61710.0,61710.0,46007.0,51364.0,0.0,True,61710.0
2025-02-11,2025,2,[45],37125.0,37125.0,38257.0,1009.0,600.0,True,37125.0
2025-02-11,2025,2,[55],31365.0,31365.0,24900.0,16685.0,810.0,True,31365.0
2025-02-11,2025,2,[80],25735.0,25735.0,25690.0,55.0,1080.0,True,25735.0
2025-02-12,2025,2,[10],10382.0,10382.0,10382.0,0.0,0.0,True,10382.0
2025-02-12,2025,2,[20],47922.0,47922.0,30114.0,36165.0,0.0,True,47922.0
2025-02-12,2025,2,[45],39445.0,39445.0,39758.0,421.0,0.0,True,39445.0
2025-02-12,2025,2,[55],34935.0,34935.0,36950.0,14375.0,1125.0,True,34935.0
2025-02-12,2025,2,[80],37095.0,37095.0,37505.0,215.0,1295.0,True,37095.0
2025-02-13,2025,2,[10],26679.0,26679.0,27441.0,762.0,0.0,True,26679.0
2025-02-13,2025,2,[20],70176.0,70176.0,55567.0,45000.0,0.0,True,70176.0
2025-02-13,2025,2,[45],22750.0,22750.0,21115.0,543.0,0.0,True,22750.0
2025-02-13,2025,2,[55],49575.0,49575.0,42210.0,21305.0,1420.0,True,49575.0
2025-02-13,2025,2,[80],48300.0,48300.0,49920.0,165.0,1765.0,True,48300.0
2025-02-14,2025,2,[10],17594.0,17594.0,20150.0,2556.0,0.0,True,17594.0
2025-02-14,2025,2,[20],53030.0,53030.0,36547.0,39944.0,0.0,True,53030.0
2025-02-14,2025,2,[45],28190.0,28190.0,29205.0,1576.0,0.0,True,28190.0
2025-02-14,2025,2,[55],33020.0,33020.0,26445.0,12195.0,1010.0,True,33020.0
2025-02-14,2025,2,[80],26630.0,26630.0,27505.0,800.0,1440.0,True,26630.0
2025-02-15,2025,2,[10],11769.0,11769.0,11769.0,0.0,0.0,True,11769.0
2025-02-15,2025,2,[20],49537.0,49537.0,39291.0,25752.0,0.0,True,49537.0
2025-02-15,2025,2,[45],16925.0,16925.0,18649.0,2799.0,0.0,True,16925.0
2025-02-15,2025,2,[55],13960.0,13960.0,17715.0,18720.0,765.0,True,13960.0
2025-02-15,2025,2,[80],18415.0,18415.0,18955.0,30.0,930.0,True,18415.0
2025-02-16,2025,2,[10],9327.0,9327.0,11619.0,2292.0,0.0,True,9327.0
2025-02-16,2025,2,[20],57764.0,57764.0,38158.0,25037.0,0.0,True,57764.0
2025-02-16,2025,2,[45],31415.0,31415.0,34094.0,3735.0,0.0,True,31415.0
2025-02-16,2025,2,[55],8590.0,8590.0,29860.0,33865.0,540.0,True,8590.0
2025-02-16,2025,2,[80],6785.0,6785.0,7735.0,775.0,385.0,True,6785.0
2025-02-17,2025,2,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-02-17,2025,2,[20],83950.0,83950.0,57080.0,38163.0,0.0,True,83950.0
2025-02-17,2025,2,[45],2960.0,2960.0,3848.0,1051.0,0.0,True,2960.0
2025-02-17,2025,2,[55],5405.0,5405.0,16060.0,13983.0,1032.0,True,5405.0
2025-02-17,2025,2,[80],4595.0,4595.0,4735.0,75.0,635.0,True,4595.0
2025-02-18,2025,2,[10],12864.0,12864.0,18630.0,5766.0,0.0,True,12864.0
2025-02-18,2025,2,[20],71610.0,71610.0,51808.0,44808.0,0.0,True,71610.0
2025-02-18,2025,2,[45],4080.0,4080.0,6806.0,3119.0,0.0,True,4080.0
2025-02-18,2025,2,[55],6150.0,6150.0,7870.0,7050.0,495.0,True,6150.0
2025-02-18,2025,2,[80],2935.0,2935.0,3010.0,70.0,435.0,True,2935.0
2025-02-19,2025,2,[10],5011.0,5011.0,5011.0,0.0,0.0,True,5011.0
2025-02-19,2025,2,[20],63807.0,63807.0,57252.0,46300.0,0.0,True,63807.0
2025-02-19,2025,2,[45],6000.0,6000.0,34206.0,28407.0,0.0,True,6000.0
2025-02-19,2025,2,[55],11255.0,11255.0,9110.0,6915.0,1140.0,True,11255.0
2025-02-19,2025,2,[80],12485.0,12485.0,12835.0,135.0,980.0,True,12485.0
2025-02-20,2025,2,[10],5677.0,5677.0,6488.0,811.0,0.0,True,5677.0
2025-02-20,2025,2,[20],50775.0,50775.0,44532.0,48188.0,0.0,True,50775.0
2025-02-20,2025,2,[45],7280.0,7280.0,7683.0,1846.0,0.0,True,7280.0
2025-02-20,2025,2,[55],3730.0,3730.0,2975.0,8230.0,965.0,True,3730.0
2025-02-20,2025,2,[80],3635.0,3635.0,3730.0,260.0,1170.0,True,3635.0
2025-02-21,2025,2,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-02-21,2025,2,[20],44254.0,44254.0,35096.0,39466.0,0.0,True,44254.0
2025-02-21,2025,2,[45],2400.0,2400.0,537.0,1234.0,0.0,True,2400.0
2025-02-21,2025,2,[55],8460.0,8460.0,7250.0,7575.0,1210.0,True,8460.0
2025-02-21,2025,2,[80],8225.0,8225.0,8460.0,130.0,1455.0,True,8225.0
2025-02-22,2025,2,[10],2847.0,2847.0,7592.0,4745.0,0.0,True,2847.0
2025-02-22,2025,2,[20],42669.0,42669.0,36265.0,40773.0,0.0,True,42669.0
2025-02-22,2025,2,[45],1630.0,1630.0,0.0,3763.0,0.0,True,1630.0
2025-02-22,2025,2,[55],4910.0,4910.0,3540.0,5525.0,845.0,True,4910.0
2025-02-22,2025,2,[80],5940.0,5940.0,4910.0,850.0,960.0,True,5940.0
2025-02-23,2025,2,[10],15720.0,15720.0,15720.0,0.0,0.0,True,15720.0
2025-02-23,2025,2,[20],42792.0,42792.0,33916.0,35610.0,0.0,True,42792.0
2025-02-23,2025,2,[45],3715.0,3715.0,1832.0,1581.0,0.0,True,3715.0
2025-02-23,2025,2,[55],2115.0,2115.0,1320.0,4965.0,1085.0,True,2115.0
2025-02-23,2025,2,[80],2020.0,2020.0,2115.0,820.0,960.0,True,2020.0
2025-02-24,2025,2,[10],6704.0,6704.0,6704.0,0.0,0.0,True,6704.0
2025-02-24,2025,2,[20],61227.0,61227.0,39659.0,39772.0,0.0,True,61227.0
2025-02-24,2025,2,[45],4525.0,4525.0,2485.0,2335.0,0.0,True,4525.0
2025-02-24,2025,2,[55],4820.0,4820.0,2680.0,6765.0,1225.0,True,4820.0
2025-02-24,2025,2,[80],3605.0,3605.0,3790.0,725.0,745.0,True,3605.0
2025-02-25,2025,2,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-02-25,2025,2,[20],65214.0,65214.0,43978.0,52772.0,0.0,True,65214.0
2025-02-25,2025,2,[45],4875.0,4875.0,2334.0,3744.0,0.0,True,4875.0
2025-02-25,2025,2,[55],13410.0,13410.0,6990.0,11605.0,465.0,True,13410.0
2025-02-25,2025,2,[80],12370.0,12370.0,13575.0,795.0,540.0,True,12370.0
2025-02-26,2025,2,[10],0.0,0.0,0.0,0.0,0.0,False,0.0
2025-02-26,2025,2,[20],58080.0,58080.0,41286.0,47826.0,0.0,True,58080.0
2025-02-26,2025,2,[45],15405.0,15405.0,13723.0,4586.0,0.0,True,15405.0
2025-02-26,2025,2,[55],4775.0,4775.0,2875.0,9175.0,540.0,True,4775.0
2025-02-26,2025,2,[80],5455.0,5455.0,5640.0,55.0,580.0,True,5455.0
2025-02-27,2025,2,[10],5601.0,5601.0,8245.0,2644.0,0.0,True,5601.0
2025-02-27,2025,2,[20],54821.0,54821.0,31564.0,42280.0,0.0,True,54821.0
2025-02-27,2025,2,[45],1360.0,1360.0,1304.0,1551.0,0.0,True,1360.0
